"#","Page","Page URL","Action","Priority","What changes","Current wording","New wording","Why"
"1","Category & tag archive pages","https://smiletustin.com/Blog/cosmetic-dentistry/","Set no-index","High","Indexing (no-index)","(WordPress category/tag archive pages, currently allowed in search - e.g. ""Cosmetic Dentistry Archives"")","In Yoast > Settings > Categories & Tags: set ""Show Categories in search results?"" = Off AND ""Show Tags in search results?"" = Off. Outputs <meta name=""robots"" content=""noindex, follow"" /> on those archive pages.","Empty listing/archive pages are showing in search instead of the real service pages (the Cosmetic Dentistry archive sits on page 1 for ""cosmetic dentist tustin"" while the cosmetic dentistry service page is far below)."
"2","internal-bleaching-for-root-canal-treated-teeth page","https://smiletustin.com/tustin-ca/internal-bleaching-for-root-canal-treated-teeth/","Consolidate (canonical)","High","Canonical tag","<link rel=""canonical"" href=""https://smiletustin.com/tustin-ca/internal-bleaching-for-root-canal-treated-teeth/"" /> (currently points to itself)","In Yoast > Advanced > ""Canonical URL"" = https://smiletustin.com/tustin-ca/internal-bleaching/  ->  outputs in <head>: <link rel=""canonical"" href=""https://smiletustin.com/tustin-ca/internal-bleaching/"" />","This page and the internal-bleaching page have the identical title and cover the same procedure; the canonical makes the main internal-bleaching page the one shown. No backlinks to lose."
"3","patient-information page","https://smiletustin.com/patient-information/","Change","High","Page title","What to Expect on Your First Visit | Tustin Dentist","Patient Information & Resources | Smile Tustin by Dr. Ezzy","The title is about the first visit, but this page is a patient resources page and there is a separate first-visit page, so the title is misleading and points at the wrong page."
"4","emergency-dentist page","https://smiletustin.com/tustin-ca/emergency-dentist/","Change","Medium","Page title (typo)","Emergency Dentist in Tustin, CA | | Same-Day Appointments","Emergency Dentist in Tustin, CA | Same-Day Appointments","The title has a double bar ""| |"" left in by mistake."
"5","composite-fillings page","https://smiletustin.com/tustin-ca/composite-fillings/","Consolidate (canonical)","Medium","Canonical tag","<link rel=""canonical"" href=""https://smiletustin.com/tustin-ca/composite-fillings/"" /> (currently points to itself)","In Yoast > Advanced > ""Canonical URL"" = https://smiletustin.com/tustin-ca/dental-fillings/  ->  outputs in <head>: <link rel=""canonical"" href=""https://smiletustin.com/tustin-ca/dental-fillings/"" />","Composite fillings are a type of dental filling and there is a separate dental-fillings page; neither gets visitors. The canonical makes dental-fillings the single main page. No backlinks to lose."
"6","faqs page","https://smiletustin.com/faqs/","Add","Medium","Missing main heading (H1)","(No H1 on the page)","Add an H1: Frequently Asked Questions","The FAQ page has no main heading for visitors or search engines to read as the page subject."
"7","porcelain-veneers page","https://smiletustin.com/tustin-ca/porcelain-veneers/","Change","Medium","Image alt text (wrong topic)","Invisalign treatment in Tustin, CA","Dentist placing porcelain veneers","On the veneers page an image is labeled as Invisalign and written as a location search phrase, which is both wrong and unnatural."
"8","tustin-teeth-cleaning-appointment blog","https://smiletustin.com/tustin-teeth-cleaning-appointment/","Change","Medium","Image alt text (wrong topic)","smile makeovers in tustin cosmetic dentist","Patient at a dental cleaning visit","The image is labeled with stacked location keywords that do not match the page (which is about a teeth cleaning appointment)."
"9","preventative-dentistry page","https://smiletustin.com/tustin-ca/preventative-dentistry/","Change","Medium","Image alt text (wrong topic)","Periodontal Therapy in Tustin","Preventive dental checkup","On the preventive page an image is labeled as periodontal therapy and written as a location search phrase."
"10","blogs index page","https://smiletustin.com/blogs/","Add","Low","Missing main heading (H1)","(No H1 on the page)","Add an H1: Dental Blog","The blog listing page has no main heading."
"11","survey page","https://smiletustin.com/survey/","Add","Low","Missing main heading (H1)","(No H1 on the page)","Add an H1: Patient Survey","The page has no main heading at all."
"12","fluoride-treatments page","https://smiletustin.com/tustin-ca/fluoride-treatments/","Change","Low","Page title (stray characters)","Top Fluoride Treatments in Tustin, CA -","Fluoride Treatments in Tustin, CA","The title ends with a stray "" -"" that should be removed."
"13","central-orange-county blog","https://smiletustin.com/central-orange-county-living-why-tustin-offers-the-best-of-both-worlds/","Change","Low","Page title (missing separator)","Central Orange County Living: Why Tustin Offers the Best of Both Worlds Smile Tustin by Dr. Ezzy","Central Orange County Living: Why Tustin Offers the Best of Both Worlds | Smile Tustin by Dr. Ezzy","The brand name is stuck to the end of the title with no separator before it."
"14","dental-inlays-and-onlays page","https://smiletustin.com/tustin-ca/dental-inlays-and-onlays/","Change","Low","Image alt text","Dental Inlays and Onlays in Tustin, CA","Close-up of a dental inlay and onlay","The image description is written as a location search phrase instead of describing the picture."
